09;06;2024;21;15
1692309;53625;3,17
5;VE 5000 - CELJE;4;VO 5004 - ŽALEC 1;18157;404;2,23
5;VE 5000 - CELJE;5;VO 5005 - ŽALEC 2;18756;465;2,48
5;VE 5000 - CELJE;6;VO 5006 - MOZIRJE;13633;0;0,00
5;VE 5000 - CELJE;7;VO 5007 - VELENJE 1;16080;231;1,44
5;VE 5000 - CELJE;8;VO 5008 - VELENJE 2;17258;0;0,00
5;VE 5000 - CELJE;9;VO 5009 - SLOVENJ GRADEC;17985;253;1,41
5;VE 5000 - CELJE;10;VO 5010 - RAVNE NA KOROŠKEM;20634;0;0,00
5;VE 5000 - CELJE;11;VO 5011 - RADLJE;20438;771;3,77
6;VE 6000 - NOVO MESTO;0;VE 6000 - NOVO MESTO;217776;7380;3,39
6;VE 6000 - NOVO MESTO;1;VO 6001 - ČRNOMELJ;22707;1194;5,26
6;VE 6000 - NOVO MESTO;2;VO 6002 - NOVO MESTO 1;24416;199;0,82
6;VE 6000 - NOVO MESTO;3;VO 6003 - NOVO MESTO 2;25817;393;1,52
6;VE 6000 - NOVO MESTO;4;VO 6004 - TREBNJE;17056;1643;9,63
6;VE 6000 - NOVO MESTO;5;VO 6005 - BREŽICE;21204;1023;4,82
6;VE 6000 - NOVO MESTO;6;VO 6006 - KRŠKO;23220;2056;8,85
6;VE 6000 - NOVO MESTO;7;VO 6007 - SEVNICA;17063;447;2,62
6;VE 6000 - NOVO MESTO;8;VO 6008 - LAŠKO;14637;256;1,75
6;VE 6000 - NOVO MESTO;9;VO 6009 - LITIJA;17188;68;0,40
6;VE 6000 - NOVO MESTO;10;VO 6010 - HRASTNIK-TRBOVLJE;20863;101;0,48
6;VE 6000 - NOVO MESTO;11;VO 6011 - ZAGORJE;13605;0;0,00
7;VE 7000 - MARIBOR;0;VE 7000 - MARIBOR;207108;4404;2,13
7;VE 7000 - MARIBOR;1;VO 7001 - ŠMARJE PRI JELŠAH;27795;144;0,52
7;VE 7000 - MARIBOR;2;VO 7002 - SLOVENSKA BISTRICA;25232;1694;6,71
7;VE 7000 - MARIBOR;3;VO 7003 - SLOVENSKE KONJICE;19024;406;2,13
7;VE 7000 - MARIBOR;4;VO 7004 - RUŠE;12568;174;1,38
7;VE 7000 - MARIBOR;5;VO 7005 - MARIBOR 1;23567;386;1,64
7;VE 7000 - MARIBOR;6;VO 7006 - MARIBOR 2;21107;98;0,46
7;VE 7000 - MARIBOR;7;VO 7007 - MARIBOR 3;17347;0;0,00
