10;06;2024;00;00
11
107699;SVOBODA;GIBANJE SVOBODA;005da3
107700;SDS;SLOVENSKA DEMOKRATSKA STRANKA - SDS;fcdc00
107649;VESNA;VESNA - ZELENA STRANKA;00964f
107651;DESUS IN DD;DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE - DeSUS in DOBRA DRŽAVA;0673ba
107650;SLS;SLOVENSKA LJUDSKA STRANKA - SLS;93c54b
107648;NSi;NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI;009ac7
107701;LEVICA;LEVICA;fb4c48
107652;ZELENI;ZELENI SLOVENIJE;75a948
107698;SD;SOCIALNI DEMOKRATI - SD;e3000f
107702;RESNI.CA;DRŽAVLJANSKO GIBANJE RESNI.CA;7c5199
107654;NOT;NIČ OD TEGA, STRANKA PRILAGOJENA VSAKEMU, UTEMELJITELJICA NIČODTEGAIZMA, KI ZDRUŽUJE...;f963ff
416065;397286;18779;95,49
107699;85938;21,63;2;0
107700;125729;31,64;4;0
107649;40762;10,26;1;0
107651;8486;2,14;0;0
107650;29719;7,48;0;0
107648;30960;7,79;1;0
107701;18030;4,54;0;0
107652;6128;1,54;0;0
107698;29733;7,48;1;0
107702;15925;4,01;0;0
107654;5981;1,51;0;0
4;VE 4000 - LJUBLJANA BEŽIGRAD;5;VO 4005 - LJUBLJANA MOSTE-POLJE 1;3480;3333;147;95,78
4;VE 4000 - LJUBLJANA BEŽIGRAD;6;VO 4006 - LJUBLJANA MOSTE-POLJE 2;5461;5209;252;95,39
4;VE 4000 - LJUBLJANA BEŽIGRAD;7;VO 4007 - LJUBLJANA MOSTE-POLJE 3;5604;5377;227;95,95
4;VE 4000 - LJUBLJANA BEŽIGRAD;8;VO 4008 - LJUBLJANA BEŽIGRAD 1;4006;3839;167;95,83
4;VE 4000 - LJUBLJANA BEŽIGRAD;9;VO 4009 - LJUBLJANA BEŽIGRAD 2;3510;3369;141;95,98
4;VE 4000 - LJUBLJANA BEŽIGRAD;10;VO 4010 - DOMŽALE 1;5982;5689;293;95,10
4;VE 4000 - LJUBLJANA BEŽIGRAD;11;VO 4011 - DOMŽALE 2;4479;4285;194;95,67
5;VE 5000 - CELJE;0;VE 5000 - CELJE;42621;40684;1937;95,46
5;VE 5000 - CELJE;1;VO 5001 - ŠENTJUR;2911;2781;130;95,53
5;VE 5000 - CELJE;2;VO 5002 - CELJE 1;6735;6410;325;95,17
5;VE 5000 - CELJE;3;VO 5003 - CELJE 2;4054;3847;207;94,89
5;VE 5000 - CELJE;4;VO 5004 - ŽALEC 1;4110;3905;205;95,01
5;VE 5000 - CELJE;5;VO 5005 - ŽALEC 2;3887;3732;155;96,01
5;VE 5000 - CELJE;6;VO 5006 - MOZIRJE;2867;2754;113;96,06
5;VE 5000 - CELJE;7;VO 5007 - VELENJE 1;3387;3259;128;96,22
5;VE 5000 - CELJE;8;VO 5008 - VELENJE 2;2862;2744;118;95,88
5;VE 5000 - CELJE;9;VO 5009 - SLOVENJ GRADEC;4782;4551;231;95,17
5;VE 5000 - CELJE;10;VO 5010 - RAVNE NA KOROŠKEM;1968;1888;80;95,93
5;VE 5000 - CELJE;11;VO 5011 - RADLJE;5058;4813;245;95,16
6;VE 6000 - NOVO MESTO;0;VE 6000 - NOVO MESTO;59756;56869;2887;95,17
6;VE 6000 - NOVO MESTO;1;VO 6001 - ČRNOMELJ;5281;5014;267;94,94
6;VE 6000 - NOVO MESTO;2;VO 6002 - NOVO MESTO 1;3855;3684;171;95,56
6;VE 6000 - NOVO MESTO;3;VO 6003 - NOVO MESTO 2;4204;4010;194;95,39
6;VE 6000 - NOVO MESTO;4;VO 6004 - TREBNJE;6724;6409;315;95,32
6;VE 6000 - NOVO MESTO;5;VO 6005 - BREŽICE;7165;6836;329;95,41
6;VE 6000 - NOVO MESTO;6;VO 6006 - KRŠKO;8051;7721;330;95,90
6;VE 6000 - NOVO MESTO;7;VO 6007 - SEVNICA;3528;3375;153;95,66
6;VE 6000 - NOVO MESTO;8;VO 6008 - LAŠKO;5745;5469;276;95,20
6;VE 6000 - NOVO MESTO;9;VO 6009 - LITIJA;4327;4127;200;95,38
6;VE 6000 - NOVO MESTO;10;VO 6010 - HRASTNIK-TRBOVLJE;7080;6603;477;93,26
6;VE 6000 - NOVO MESTO;11;VO 6011 - ZAGORJE;3796;3621;175;95,39
7;VE 7000 - MARIBOR;0;VE 7000 - MARIBOR;45005;43066;1939;95,69
7;VE 7000 - MARIBOR;1;VO 7001 - ŠMARJE PRI JELŠAH;3300;3158;142;95,70
7;VE 7000 - MARIBOR;2;VO 7002 - SLOVENSKA BISTRICA;6391;6102;289;95,48
7;VE 7000 - MARIBOR;3;VO 7003 - SLOVENSKE KONJICE;4694;4478;216;95,40
7;VE 7000 - MARIBOR;4;VO 7004 - RUŠE;4492;4304;188;95,81
7;VE 7000 - MARIBOR;5;VO 7005 - MARIBOR 1;4912;4729;183;96,27
7;VE 7000 - MARIBOR;6;VO 7006 - MARIBOR 2;3225;3065;160;95,04
7;VE 7000 - MARIBOR;7;VO 7007 - MARIBOR 3;4378;4217;161;96,32
7;VE 7000 - MARIBOR;8;VO 7008 - MARIBOR 4;3447;3333;114;96,69
7;VE 7000 - MARIBOR;9;VO 7009 - MARIBOR 5;5076;4821;255;94,98
7;VE 7000 - MARIBOR;10;VO 7010 - MARIBOR 6;2525;2417;108;95,72
7;VE 7000 - MARIBOR;11;VO 7011 - MARIBOR 7;2565;2442;123;95,20
8;VE 8000 - PTUJ;0;VE 8000 - PTUJ;56344;53847;2497;95,57
8;VE 8000 - PTUJ;1;VO 8001 - LENDAVA;4564;4301;263;94,24
8;VE 8000 - PTUJ;2;VO 8002 - ORMOŽ;5308;5029;279;94,74
8;VE 8000 - PTUJ;3;VO 8003 - LJUTOMER;3199;3050;149;95,34
8;VE 8000 - PTUJ;4;VO 8004 - MURSKA SOBOTA 1;5031;4858;173;96,56
8;VE 8000 - PTUJ;5;VO 8005 - MURSKA SOBOTA 2;7034;6696;338;95,19
8;VE 8000 - PTUJ;6;VO 8006 - GORNJA RADGONA;6239;5956;283;95,46
8;VE 8000 - PTUJ;7;VO 8007 - LENART;6281;6062;219;96,51
8;VE 8000 - PTUJ;8;VO 8008 - PESNICA;2735;2629;106;96,12
8;VE 8000 - PTUJ;9;VO 8009 - PTUJ 1;5940;5690;250;95,79
8;VE 8000 - PTUJ;10;VO 8010 - PTUJ 2;6440;6158;282;95,62
8;VE 8000 - PTUJ;11;VO 8011 - PTUJ 3;3573;3418;155;95,66
107699
13610;20,88
2601;30,34;754;20,85;1142;21,37;1078;21,37;1111;21,23;1366;15,54;684;22,99;1557;19,36;842;12,75;1578;24,13;897;20,37
9330;24,50
591;25,66;1293;27,93;425;26,97;1614;30,70;758;28,39;333;21,76;802;19,86;971;20,38;542;22,84;1103;28,61;898;17,64
10306;21,38
1434;18,45;1423;21,10;600;19,49;726;25,19;954;25,15;1080;17,52;468;19,31;1079;25,07;882;25,11;992;23,87;668;19,85
9705;20,52
630;12,77;284;10,00;538;15,35;756;15,40;741;22,23;1541;29,58;1342;24,96;930;24,23;835;24,78;1092;19,19;1016;23,71
8578;21,08
457;16,43;1426;22,25;1018;26,46;810;20,74;780;20,90;364;13,22;604;18,53;482;17,57;1004;22,06;454;24,05;1179;24,50
12401;21,81
1008;20,10;637;17,29;869;21,67;1149;17,93;1721;25,18;1550;20,08;672;19,91;1018;18,61;794;19,24;2072;31,38;911;25,16
10077;23,40
596;18,87;1090;17,86;693;15,48;1116;25,93;1227;25,95;747;24,37;930;22,05;896;26,88;1322;27,42;749;30,99;711;29,12
11057;20,53
889;20,67;965;19,19;765;25,08;1203;24,76;1699;25,37;1274;21,39;845;13,94;638;24,27;843;14,82;1319;21,42;617;18,05
107700
20523;31,49
2262;26,39;1109;30,66;1572;29,42;1435;28,45;1426;27,26;3171;36,07;842;28,30;2694;33,50;2835;42,92;1818;27,80;1359;30,86
10326;27,11
792;34,39;1014;21,91;377;23,92;871;16,57;590;22,10;365;23,86;1367;33,85;1584;33,24;735;30,97;868;22,52;1763;34,63
13159;27,30
2719;34,98;2051;30,41;1073;34,85;649;22,52;746;19,67;2254;36,56;434;17,90;750;17,43;608;17,31;944;22,72;931;27,67
13479;28,50
1082;21,93;1084;38,17;1452;41,44;2288;46,61;1007;30,21;953;18,30;1201;22,34;921;23,99;635;18,85;1680;29,53;1176;27,44
14653;36,02
1265;45,49;2167;33,81;1073;27,89;1366;34,98;1214;32,53;1209;43,90;1179;36,18;1144;41,69;1560;34,28;692;36,65;1784;37,07
17863;31,41
1534;30,59;1435;38,95;1259;31,40;2455;38,31;2044;29,90;2222;28,78;1296;38,40;1701;31,10;1515;36,71;1443;21,85;959;26,48
14953;34,72
1225;38,79;2688;44,05;2246;50,16;1372;31,88;1395;29,50;1016;33,15;1709;40,53;701;21,03;1339;27,77;583;24,12;679;27,81
20199;37,51
1702;39,57;2235;44,44;989;32,43;1596;32,85;2122;31,69;1890;31,73;2541;41,92;1027;39,06;2469;43,39;2152;34,95;1476;43,18
107649
6699;10,28
739;8,62;440;12,16;651;12,18;545;10,80;542;10,36;867;9,86;520;17,48;897;11,15;493;7,46;612;9,36;393;8,92
3351;8,80
141;6,12;479;10,35;149;9,45;584;11,11;270;10,11;148;9,67;353;8,74;405;8,50;156;6,57;331;8,59;335;6,58
6543;13,58
778;10,01;863;12,80;382;12,41;417;14,47;640;16,87;702;11,39;440;18,15;746;17,33;560;15,94;578;13,91;437;12,99
7737;16,36
2228;45,15;597;21,02;344;9,82;410;8,35;383;11,49;675;12,96;792;14,73;562;14,64;543;16,12;655;11,51;548;12,79
3732;9,17
238;8,56;702;10,95;428;11,13;360;9,22;340;9,11;295;10,71;297;9,11;230;8,38;375;8,24;126;6,67;341;7,09
5257;9,24
573;11,43;341;9,26;507;12,64;538;8,39;511;7,48;547;7,08;264;7,82;441;8,06;352;8,53;706;10,69;477;13,17
3635;8,44
238;7,54;385;6,31;233;5,20;372;8,64;469;9,92;251;8,19;326;7,73;445;13,35;454;9,42;260;10,76;202;8,27
3082;5,72
235;5,46;229;4,55;175;5,74;177;3,64;338;5,05;333;5,59;318;5,25;160;6,09;343;6,03;571;9,27;203;5,94
107651
1532;2,35
193;2,25;72;1,99;147;2,75;138;2,74;155;2,96;128;1,46;55;1,85;155;1,93;148;2,24;103;1,57;238;5,40
1009;2,65
63;2,74;162;3,50;51;3,24;146;2,78;60;2,25;57;3,73;127;3,15;80;1,68;37;1,56;128;3,32;98;1,93
1144;2,37
127;1,63;151;2,24;64;2,08;69;2,39;123;3,24;134;2,17;62;2,56;116;2,70;106;3,02;116;2,79;76;2,26
983;2,08
44;0,89;31;1,09;43;1,23;85;1,73;65;1,95;174;3,34;170;3,16;87;2,27;82;2,43;94;1,65;108;2,52
864;2,12
63;2,27;119;1,86;97;2,52;89;2,28;70;1,88;39;1,42;99;3,04;58;2,11;112;2,46;21;1,11;97;2,02
980;1,72
118;2,35;63;1,71;94;2,34;103;1,61;89;1,30;118;1,53;45;1,33;89;1,63;55;1,33;140;2,12;66;1,82
854;1,98
58;1,84;137;2,25;62;1,38;84;1,95;95;2,01;52;1,70;57;1,35;96;2,88;93;1,93;53;2,19;67;2,74
1065;1,98
108;2,51;103;2,05;84;2,75;108;2,22;136;2,03;171;2,87;61;1,01;37;1,41;79;1,39;133;2,16;45;1,32
107650
5675;8,71
535;6,24;318;8,79;314;5,88;360;7,14;465;8,89;1120;12,74;193;6,49;791;9,84;791;11,97;414;6,33;374;8,49
2575;6,76
208;9,03;208;4,49;76;4,82;210;3,99;145;5,43;131;8,56;258;6,39;388;8,14;200;8,43;249;6,46;502;9,86
3423;7,10
635;8,17;505;7,49;233;7,57;166;5,76;255;6,72;469;7,61;141;5,82;232;5,39;216;6,15;275;6,62;296;8,80
3328;7,04
145;2,94;207;7,29;397;11,33;495;10,08;266;7,98;259;4,97;334;6,21;269;7,01;184;5,46;458;8,05;314;7,33
2395;5,89
199;7,16;366;5,71;195;5,07;255;6,53;261;6,99;316;11,47;123;3,77;144;5,25;249;5,47;69;3,65;218;4,53
6548;11,51
377;7,52;347;9,42;274;6,83;742;11,58;867;12,68;1962;25,41;520;15,41;391;7,15;468;11,34;257;3,89;343;9,47
2209;5,13
217;6,87;446;7,31;341;7,62;171;3,97;250;5,29;146;4,76;187;4,43;124;3,72;182;3,78;77;3,19;68;2,78
3296;6,12
184;4,28;334;6,64;199;6,52;232;4,78;331;4,94;354;5,94;306;5,05;86;3,27;655;11,51;341;5,54;274;8,02
107648
5485;8,42
453;5,28;261;7,22;394;7,37;303;6,01;371;7,09;803;9,13;181;6,08;594;7,39;598;9,05;1143;17,48;384;8,72
