10;06;2024;00;30
107700;Romana Tomc;0;1;1
107699;Irena Joveva;0;1;2
107700;Zala Tomašič;0;1;3
107699;Marjan Šarec;0;1;4
107700;dr. Milan Zver;0;1;5
107649;Vladimir Prebilič;0;1;6
107700;mag. Branko Grims;0;1;7
107648;Matej Tonin;0;1;8
107698;Matjaž Nemec;0;1;9
